Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Human immunodeficiency virus 2		isolate: BEN	11709	ViralProj14991	GCA_000856385.1	GenBank	Annotation submitted by INSDC submitter	Complete Genome	10359	10359	1993-08-02	1		
Human immunodeficiency virus 2		isolate: ALI, strain: HIV-2ALI	11709	ASM309813v1	GCA_003098135.1	GenBank	Annotation submitted by Microbiology, Fac Pharmacy of Lisbon	Complete Genome	10353	10353	1998-12-14	9		
Human immunodeficiency virus 2		isolate: Abt96	11709	ASM309851v1	GCA_003098515.1	GenBank	Annotation submitted by D-09NG, Abbott Laboratories	Complete Genome	9599	9599	2000-07-06	9		
Human immunodeficiency virus 2		isolate: CAM 2	11709	ASM310055v1	GCA_003100555.1	GenBank		Complete Genome	11443	11443	1993-04-29			
Human immunodeficiency virus 2		isolate: FG	11709	ASM310235v1	GCA_003102355.1	GenBank	Annotation submitted by INSDC submitter	Complete Genome	9431	9431	1993-08-02	1		
Human immunodeficiency virus 2		isolate: SBLISY	11709	ASM310237v1	GCA_003102375.1	GenBank	Annotation submitted by INSDC submitter	Complete Genome	9636	9636	1993-08-02	1		
Human immunodeficiency virus 2		isolate: D194	11709	ASM310239v1	GCA_003102395.1	GenBank	Annotation submitted by INSDC submitter	Complete Genome	9472	9472	1993-08-02	9		
Human immunodeficiency virus 2		strain: 2UC1	11709	ASM310431v1	GCA_003104315.1	GenBank	Annotation submitted by INSDC submitter	Complete Genome	10271	10271	1993-08-02	9		
Human immunodeficiency virus 2		isolate: ROD	11709	ASM310449v1	GCA_003104495.1	GenBank	Annotation submitted by INSDC submitter	Complete Genome	9671	9671	1993-08-02	1		
Human immunodeficiency virus 2			11709	ASM310455v1	GCA_003104555.1	GenBank		Complete Genome	9480	9480	1993-08-02			
Human immunodeficiency virus 2		isolate: HIV-2/ST	11709	ASM310457v1	GCA_003104575.1	GenBank		Complete Genome	9672	9672	1993-08-02			
Human immunodeficiency virus 2		strain: HIV-2 KR	11709	ASM310463v1	GCA_003104635.1	GenBank	Annotation submitted by David J. Looney, Medicine, University of California at San Diego, La Jolla, CA 92024-0678, USA	Complete Genome	10172	10172	1995-03-23	9		
Human immunodeficiency virus 2		isolate: EHO	11709	ASM310465v1	GCA_003104655.1	GenBank	Annotation submitted by Julien Galabru, Retrovirus, Institut Pasteur, 28.rue du Dr Roux, Paris Cedex 15, France	Complete Genome	10351	10351	1995-09-23	9		
Human immunodeficiency virus 2			11709	ASM310467v1	GCA_003104675.1	GenBank	Annotation submitted by Barton Bryant, HIV Database, Los Alamos National Laboratory, Eniwetok St., Los Alamos, NM 87545, USA	Complete Genome	10312	10312	1997-02-21	8		
Human immunodeficiency virus 2		isolate: D205	11709	ASM310934v1	GCA_003109345.1	GenBank	Annotation submitted by Dietricch U., Georg-Speyer-Haus, Paul-Ehrlich-Str 42-44, 6000 Frankfurt 70, F R G	Complete Genome	10269	10269	1993-04-21	4		
Human immunodeficiency virus 2		isolate: MDS	11709	ASM310944v1	GCA_003109445.1	GenBank	Annotation submitted by Michael Becker, Institut fuer Klin. und Exp. Virologie, Freie Universitaet Berlin, Hindenburgdamm 27, Berlin, 12203, GERMANY	Complete Genome	9525	9525	1995-03-27	9		
Human immunodeficiency virus 2		isolate: LA38	11709	ASM319092v1	GCA_003190925.1	GenBank	Annotation submitted by 09-NC, Infectious Diseases Research and Virus Discovery, Abbott Labs	Complete Genome	10221	10221	2016-12-09	9		
Human immunodeficiency virus 2		isolate: LA42	11709	ASM319094v1	GCA_003190945.1	GenBank	Annotation submitted by 09-NC, Infectious Diseases Research and Virus Discovery, Abbott Labs	Complete Genome	10306	10306	2016-12-09	9		
Human immunodeficiency virus 2		isolate: LA36GomM	11709	ASM319100v1	GCA_003191005.1	GenBank		Complete Genome	10364	10364	2016-01-11			
Human immunodeficiency virus 2		isolate: LA37	11709	ASM319102v1	GCA_003191025.1	GenBank	Annotation submitted by 09-NC, Infectious Diseases Research and Virus Discovery, Abbott Labs	Complete Genome	10354	10354	2016-12-09	9		
